name,latitude,longitude,Initial Condition
E-17-FH,39.9372766,-104.9878503,Repairs Needed - Structure is Stable
E-17-ID,39.814206,-104.9514961,Repairs Needed - Structure is Stable
E-17-IE,39.81404874,-104.9516755,Repairs Needed - Structure is Stable
E-17-IF,39.81236809,-104.9490687,Open - No Repair
E-17-IG,39.81222513,-104.9492481,Open - No Repair
E-17-IR,39.81905549,-104.9874837,Open - No Repair
E-17-NW,39.82182688,-104.9808933,Open - No Repair
E-17-NX,39.819537,-104.983797,Open - No Repair
E-17-NY,39.82036729,-104.9841243,Open - No Repair
E-17-OQ,39.7565922,-104.8276645,Open - No Repair
E-17-OZ,39.82115581,-104.9825246,Open - No Repair
E-17-PA,39.8209664,-104.9828535,Open - No Repair
E-17-PY,39.83075035,-104.9480032,Open - No Repair
E-17-QI,39.82607582,-104.9689059,Open - No Repair
E-17-QK,39.823519,-104.965207,Open - No Repair
E-17-QP,39.8262425,-104.968397,Open - No Repair
E-17-UJ,39.91229441,-104.8216823,Repairs Needed - Structure is Stable
E-17-UK,39.91143665,-104.8206155,Open - No Repair
E-17-UM,39.9255056,-104.8027459,Open - No Repair
E-17-UN,39.92562993,-104.8029623,Open - No Repair
E-17-UZ,39.9864175,-104.9463055,Open - No Repair
E-17-VS,39.82127577,-104.9821724,Open - No Repair
E-17-WP,39.80596732,-104.9419551,Open - No Repair
E-17-ZA,39.93399087,-104.845919,Open - No Repair
E-17-ZO,39.93416354,-104.8458025,Open - No Repair
E-19-X,39.75608219,-104.4809994,Open - No Repair
E-19-Y,39.75624639,-104.4638857,Open - No Repair
E-19-Z,39.74889092,-104.4127944,Open - No Repair
F-15-AC,39.66678727,-105.275614,Open - No Repair
F-15-AD,39.71642556,-105.3633391,Open - No Repair
F-15-BA,39.74373284,-105.2978747,Open - No Repair
F-15-BB,39.74373725,-105.2912124,Open - No Repair
F-15-BC,39.73744443,-105.3186265,Open - No Repair
F-15-BD,39.63676471,-105.3150712,Repairs Needed - Structure is Stable
F-15-BE,40.219094,-105.260814,Repairs Needed - Structure is Stable
F-15-BF,39.65436382,-105.3064643,Open - No Repair
F-15-C,39.73679544,-105.3707759,Open - No Repair
F-15-CC,39.71278715,-105.3666125,Open - No Repair
F-15-CD,39.71297778,-105.3664871,Open - No Repair
F-15-CZ,39.68386434,-105.3663324,Open - No Repair
F-15-DA,39.68391614,-105.3661103,Open - No Repair
F-15-L,39.74177491,-105.3315037,Open - No Repair
F-15-Q,39.7183505,-105.3677961,Open - No Repair
F-16-AK,39.72886525,-105.0814928,Open - No Repair
F-16-AO,39.65360327,-105.1951586,Open - No Repair
F-16-AV,39.59241522,-105.2224465,Open - No Repair
F-16-AW,39.64145385,-105.1935685,Open - No Repair
F-16-AX,39.63963146,-105.1934075,Open - No Repair
F-16-BO,39.72852643,-105.0532493,Open - No Repair
F-16-CJ,39.63553002,-105.1689876,Open - No Repair
F-16-CY,39.72533034,-105.1561684,Open - No Repair
F-16-FV,39.58852541,-105.0910012,Open - No Repair
F-16-G,39.73502312,-105.2146636,Open - No Repair
F-16-HR,39.738017,-105.1616347,Open - No Repair
F-16-HY,39.55888784,-105.0771223,Open - No Repair
F-16-HZ,39.54641329,-105.0885411,Open - No Repair
F-16-IA,39.52764249,-105.0948618,Open - No Repair
F-16-IX,39.73116027,-105.1692704,Open - No Repair
F-16-JJ,39.68112857,-105.0814501,Open - No Repair
F-16-JN,39.66285249,-105.112566,Open - No Repair
F-16-JO,39.66283591,-105.1128324,Open - No Repair
F-16-JP,39.67386827,-105.1188244,Open - No Repair
F-16-JQ,39.67395172,-105.1191521,Open - No Repair
F-16-L,39.72554472,-105.0843916,Repairs Needed - Structure is Stable
F-16-LC,39.65321014,-105.1812154,Open - No Repair
F-16-LD,39.65313381,-105.1814925,Open - No Repair
F-16-LE,39.65227784,-105.1808368,Open - No Repair
F-16-LF,39.65192184,-105.1815775,Open - No Repair
F-16-M,39.72513994,-105.1940174,Repairs Needed - Structure is Stable
F-16-O,39.7255506,-105.081525,Open - No Repair
F-16-OF,39.73984918,-105.1592812,Open - No Repair
F-16-PH,39.60171945,-105.1532847,Open - No Repair
F-16-PI,39.60169469,-105.1535434,Open - No Repair
F-16-SA,39.61600914,-105.2321322,Open - No Repair
F-16-SB,39.59143629,-105.2219742,Open - No Repair
F-16-SR,39.65312988,-105.1950003,Open - No Repair
F-16-ST,39.57800671,-105.141983,Open - No Repair
F-16-YR,39.66487168,-105.0814418,Open - No Repair
F-17-BF,39.75156556,-104.8268926,Open - No Repair
F-18-AZ,39.7402025,-104.7105386,Open - No Repair
F-18-BB,39.74236401,-104.6153313,Open - No Repair
F-18-BJ,39.74213367,-104.6167634,Open - No Repair
F-18-BK,39.74650168,-104.5888554,Open - No Repair
F-18-C,39.74021612,-104.613617,Open - No Repair
F-18-E,39.73998165,-104.6135935,Open - No Repair
F-18-F,39.73988693,-104.5827701,Repairs Needed - Structure is Stable
F-18-M,39.73965139,-104.5827368,Open - No Repair
F-18-W,39.74011863,-104.61667,Open - No Repair
F-19-M,39.7382028,-104.3604875,Open - No Repair
F-20-BO,39.74011018,-104.012939,Open - No Repair
F-20-O,39.74004012,-104.0270078,Open - No Repair
F-21-U,39.74024983,-103.9823049,Open - No Repair
G-15-D,39.47921198,-105.3692885,Open - No Repair
