seq,reward
44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,17-27-60-97-20-8-22-60-10-16-25-27
44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,26-18-71-29-82-37-68-26-37-40
55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0,19-16-61-24-21-19-17-21
66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0,48-10-58-16-10-51-18-77-60-38-8-80-30-11
55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,27-78-85-16-43-13-100-52
66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0,58-21-9-8-49-20-23-18-59-39-11-44
66_BrNoBrG_C12_M0,37
66_BrNoBrG_C12_M0,22
66_BrNoBrG_C12_M0,89
66_BrNoBrG_C12_M0-66_BrNoBrG_C12_M0,75-51
55_TeNoTeG_C8_M0,26
44_CaDo_C4_M0,34
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-44_CaDo_C4_M0-55_TeNoTeG_C8_M0-44_CaDo_C4_M0-66_BrNoBrG_C12_M0-44_CaDo_C4_M0,17-20-34-19-20-21-8-71-8-8-10-21-14-77-9
66_BrNoBrG_C12_M0,72
55_TeNoTeG_C8_M0-55_TeNoTeG_C8_M0-66_BrNoBrG_C12_M0,16-16-2
